Region.Name,country_birth,TOTAL,ALABAMA,ALASKA,ARIZONA,ARKANSAS,CALIFORNIA,COLORADO,CONNECTICUT,DELAWARE,DISTRICT.OF.COLUMBIA,FLORIDA,GEORGIA,GUAM,HAWAII,IDAHO,ILLINOIS,INDIANA,IOWA,KANSAS,KENTUCKY,LOUISIANA,MAINE,MARYLAND,MASSACHUSETTS,MICHIGAN,MINNESOTA,MISSISSIPPI,MISSOURI,MONTANA,NEBRASKA,NEVADA,NEW.HAMPSHIRE,NEW.JERSEY,NEW.MEXICO,NEW.YORK,NORTH.CAROLINA,NORTH.DAKOTA,OHIO,OKLAHOMA,OREGON,PENNSYLVANIA,PUERTO.RICO,RHODE.ISLAND,SOUTH.CAROLINA,SOUTH.DAKOTA,TENNESSEE,TEXAS,U.S..ARMED.SERVICES.POSTS,U.S..TERRITORIES1,UTAH,VERMONT,VIRGINIA,WASHINGTON,WEST.VIRGINIA,WISCONSIN,WYOMING,UNKNOWN
Americas,Dominica,2892,0,5,0,0,48,3,54,0,0,408,137,0,0,0,25,3,0,3,0,6,0,82,101,12,0,0,0,0,0,0,0,222,0,605,35,0,3,12,0,43,0,0,0,0,9,208,0,607,0,0,37,13,0,0,0,106
Americas,Dominican Republic,125800,84,169,164,34,513,102,2481,171,251,12647,1148,0,8,21,389,278,38,56,64,418,37,1238,12219,376,130,115,128,5,43,175,482,19300,28,49785,1468,5,637,76,53,6795,6027,3151,315,4,171,1084,13,401,147,19,617,112,20,166,3,1392
Americas,Ecuador,37247,29,12,140,22,1571,100,1593,49,55,5337,434,0,18,18,1096,56,73,49,62,71,13,517,538,87,494,14,62,0,31,135,46,7012,35,12842,862,0,192,51,68,659,98,75,208,0,117,987,0,0,241,6,438,112,16,61,0,405
Africa,Egypt,32046,81,3,221,23,5795,81,222,110,46,2311,338,0,14,9,621,316,79,67,128,99,10,388,1127,464,280,28,94,5,41,102,57,5290,27,3702,685,3,651,56,181,1229,0,52,229,8,2086,1888,3,0,25,0,1764,421,31,92,3,412
Americas,El Salvador,82320,88,48,614,879,26965,545,317,52,804,2970,1728,0,20,87,584,437,326,327,126,171,31,6414,2682,162,409,36,267,0,397,1631,51,2620,115,7196,2016,12,268,145,320,378,66,162,207,57,420,10458,4,3,533,3,6482,659,58,102,7,828
Africa,Equatorial Guinea,68,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0
Africa,Eritrea,8226,7,0,139,0,975,277,24,3,201,92,376,0,0,40,141,105,245,63,66,29,6,477,173,61,219,0,148,0,17,225,0,42,3,195,357,6,377,58,81,153,0,17,16,113,86,1082,0,0,56,0,551,773,5,37,0,61
Europe,Estonia,897,0,0,10,0,101,8,20,0,3,139,12,0,3,0,35,3,0,4,0,0,0,27,11,6,0,0,0,0,0,10,0,53,0,121,29,0,18,0,9,18,0,0,6,0,3,24,0,0,0,0,41,60,0,0,0,3
Africa,Eswatini,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Africa,Eswatini (formerly Swaziland),38,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0
Africa,Ethiopia,39314,62,25,374,11,3211,1570,85,27,1536,472,2405,0,0,43,608,226,358,349,205,56,54,4536,912,222,3532,10,396,0,184,1296,3,190,19,601,641,64,1244,127,437,594,0,26,79,343,701,3186,11,0,72,3,4326,3028,73,139,3,601
Americas,Falkland Islands,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Oceania,Fiji,4114,3,0,42,0,3040,11,0,0,0,33,7,3,25,0,5,0,0,0,0,0,0,4,0,6,0,0,4,0,0,43,0,8,3,23,0,0,14,0,132,37,0,0,3,0,0,53,0,0,23,0,22,426,0,4,0,35
Europe,Finland,1458,0,3,27,0,331,30,22,0,10,162,55,0,0,0,31,10,0,0,3,5,7,36,35,32,30,0,7,0,0,16,9,34,3,106,38,0,25,0,25,17,0,5,3,0,6,117,0,0,9,0,35,59,0,11,0,7
Europe,France,14375,25,10,189,16,3374,211,196,17,135,1655,334,0,45,51,360,85,32,37,42,77,28,353,646,204,187,6,82,13,16,174,40,521,65,1942,263,0,153,39,179,330,23,60,131,0,75,832,0,16,79,39,331,365,8,92,0,150
Oceania,French Polynesia,78,0,0,0,0,9,0,0,0,0,4,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,0,0,5,0,0,0,0,0,0,1
Africa,Gabon,431,0,0,4,0,21,11,0,0,0,0,36,0,0,0,3,0,0,0,0,0,0,33,9,0,0,0,0,0,9,0,0,0,0,49,17,0,17,0,0,13,0,0,0,0,4,77,0,0,0,0,17,6,0,0,0,0
Africa,Gambia,3299,15,14,20,3,41,21,12,0,6,52,342,0,0,0,20,13,9,35,56,0,0,235,67,63,112,5,21,0,16,0,3,43,0,668,175,6,173,4,12,71,0,66,16,0,51,163,0,0,3,0,48,371,0,131,0,38
Asia,Georgia,4310,4,0,4,0,604,32,74,5,20,141,54,0,0,0,87,0,0,8,13,0,0,101,68,24,12,3,7,0,0,7,0,485,0,1760,36,0,74,3,19,270,0,0,12,0,3,60,0,0,13,0,82,88,0,4,0,32
Europe,Germany,20399,216,78,437,73,3347,554,214,47,69,1989,705,6,135,73,577,198,86,117,182,95,67,393,650,622,201,47,246,60,50,203,90,613,155,1409,649,20,407,144,294,584,6,51,381,9,282,1366,31,4,124,68,679,693,41,221,34,284
Africa,Ghana,30144,53,23,188,37,784,466,791,242,61,470,1509,0,17,7,1024,176,88,92,182,67,22,2549,1875,226,467,30,187,10,59,87,46,2629,34,5490,773,131,2180,226,82,810,0,120,149,11,267,1676,37,0,75,15,2737,268,30,111,4,419
Europe,Gibraltar,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Europe,Greece,4997,7,3,33,3,502,33,120,27,16,363,75,0,0,0,313,42,0,3,11,22,15,160,507,115,11,0,23,0,0,36,35,285,0,1125,85,0,106,11,16,216,0,18,58,0,20,168,0,0,6,4,100,59,0,43,0,114
Americas,Greenland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Americas,Grenada,2868,0,0,0,0,34,0,26,0,5,198,77,0,0,0,9,0,0,0,0,0,0,120,46,7,0,0,0,0,0,0,0,116,0,1842,23,0,3,3,0,51,0,0,8,0,10,91,0,21,0,0,39,12,0,0,0,33
Oceania,Guam,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Americas,Guatemala,43830,230,36,559,213,15599,361,649,92,97,3179,1073,0,7,82,1355,266,307,184,136,207,22,1313,1734,184,239,47,204,6,461,860,21,1914,133,2675,666,15,254,281,582,423,43,1083,190,105,358,2587,0,0,407,0,1383,466,9,75,14,415
Africa,Guinea,4798,38,0,22,0,54,32,59,18,18,21,292,0,0,0,64,100,34,6,19,0,0,350,141,73,102,7,24,0,0,3,4,166,0,1894,90,4,308,0,0,323,0,26,11,0,74,111,0,0,4,0,85,72,3,19,0,66
Africa,Guinea-Bissau,116,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,29,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Americas,Guyana,23156,14,0,46,4,209,13,363,60,45,2033,609,0,3,3,69,16,4,12,14,21,0,604,171,34,302,3,37,0,4,27,3,1847,0,14957,164,0,114,5,3,310,3,7,75,0,55,278,0,25,0,0,210,40,0,4,0,257
Americas,Haiti,67632,70,0,91,0,361,64,1389,319,29,31039,1334,0,9,14,358,259,52,42,147,162,30,1006,8090,98,49,4,170,3,13,60,84,4885,6,12311,480,41,206,70,55,1677,14,276,152,0,147,333,8,110,74,3,363,114,11,32,3,870
Americas,Honduras,28277,96,16,199,103,3019,194,259,39,71,6226,750,0,13,22,460,293,98,122,108,1230,13,793,773,135,162,82,169,0,95,239,35,1644,49,2849,1134,3,185,99,122,300,39,51,284,14,336,3291,7,0,143,3,1265,195,12,123,0,283
Asia,Hong Kong,8522,17,0,71,7,3397,56,60,5,10,191,119,6,111,14,164,41,10,34,6,14,0,140,414,77,41,6,44,3,4,144,7,285,0,1352,108,0,84,10,67,142,0,7,29,0,26,421,0,4,60,0,103,425,6,35,0,71
