"YEAR","SAMPLE","SERIAL","CBSERIAL","HHWT","CLUSTER","STATEFIP","COUNTYFIP","STRATA","GQ","PERNUM","PERWT","SEX","AGE","BPL","BPLD","CITIZEN","YRNATUR","YRSUSA1","OCC","INCTOT","INCWAGE","category"
2020,202001,817311,2020010107536,45,2020008173111,39,49,410539,4,1,45,1,18,521,52100,3,9999,16,0,0,0,NA
2020,202001,817361,2020010108619,78,2020008173611,39,61,550439,4,1,78,1,18,600,60064,2,2010,11,4655,2000,2000,"Service Occupations"
2020,202001,817389,2020010109342,56,2020008173891,39,153,180339,4,1,56,2,20,500,50000,3,9999,1,0,0,0,NA
2020,202001,817443,2020010110426,126,2020008174431,39,0,210039,4,1,126,1,25,600,60075,3,9999,1,0,0,0,NA
2020,202001,817446,2020010110470,19,2020008174461,39,49,410539,4,1,19,1,30,502,50200,3,9999,1,2545,23300,23300,"Education, Legal, Community Service, Arts, and Media Occupations"
2020,202001,817448,2020010110513,59,2020008174481,39,0,500039,4,1,59,2,19,500,50000,2,2014,1,51,300,300,"Management, Business and Financial Operations"
2020,202001,817495,2020010111924,29,2020008174951,39,153,180439,3,1,29,1,21,300,30030,2,2013,15,7810,6600,6600,"Production, Transportation, and Material Moving Occupations"
2020,202001,817575,2020010113989,55,2020008175751,39,0,360039,3,1,55,1,30,210,21050,2,2013,7,7150,3300,3300,"Natural Resources, Construction, and Maintenance Occupations"
2020,202001,817610,2020010115074,51,2020008176101,39,61,550439,4,1,51,1,18,600,60064,2,2010,11,4655,2000,2000,"Service Occupations"
2020,202001,817650,2020010116088,13,2020008176501,39,89,380039,4,1,13,2,19,300,30025,3,9999,16,4540,6000,6000,"Service Occupations"
2020,202001,817670,2020010116433,69,2020008176701,39,61,550439,4,1,69,2,18,535,53500,1,9999,9,9620,25000,25000,"Production, Transportation, and Material Moving Occupations"
2020,202001,817719,2020010117620,29,2020008177191,39,45,390039,4,1,29,1,25,600,60075,3,9999,1,0,0,0,NA
2020,202001,817759,2020010118793,93,2020008177591,39,0,260039,3,1,93,2,94,521,52100,2,1975,56,0,25600,0,NA
2020,202001,817763,2020010118859,38,2020008177631,39,17,540339,4,1,38,1,19,500,50000,3,9999,1,7340,7500,7500,"Natural Resources, Construction, and Maintenance Occupations"
2020,202001,817781,2020010119352,6,2020008177811,39,17,540239,3,1,6,1,77,499,49900,1,9999,63,0,31600,0,NA
2020,202001,817784,2020010119379,31,2020008177841,39,89,380039,4,1,31,1,18,500,50000,3,9999,1,6130,0,0,"Natural Resources, Construction, and Maintenance Occupations"
2020,202001,817836,2020010120741,65,2020008178361,39,17,540339,4,1,65,1,19,500,50000,3,9999,1,7340,7500,7500,"Natural Resources, Construction, and Maintenance Occupations"
2020,202001,817861,2020010121395,52,2020008178611,39,153,180339,4,1,52,1,22,425,42500,3,9999,1,5150,15000,15000,"Office and Administrative Support Occupations:"
